occurrences,term
198,that there
197,as part
197,can get
197,the three
197,this time
197,they would
196,won the
196,due to
195,must be
195,to provide
195,needs to
195,no longer
195,but there
195,on to
194,out in
194,said his
194,right to
194,to build
194,to create
193,down to
193,the entire
193,what it
192,in march
192,to buy
192,plan to
192,decided to
191,me to
191,for him
191,the car
190,the old
190,which was
190,this month
190,should have
189,get to
189,deal with
188,is on
188,for its
188,to try
187,her husband
187,made the
187,the nfl
186,were not
186,not just
186,was to
185,the story
185,the building
184,use of
184,time and
184,and what
184,fact that
184,willing to
184,ll be
183,keep the
183,return to
183,half of
183,the street
182,don want
182,was just
182,the cardinals
182,behind the
182,the white
182,time for
182,and all
181,the high
181,the job
181,say the
181,in november
181,white house
181,had no
181,how the
181,not going
181,them in
180,five years
180,he and
179,for us
179,what is
179,do the
179,the issue
179,the block
179,talk about
179,the film
179,cost of
179,percent to
179,came to
179,says he
178,people are
178,called the
178,in some
177,the cost
177,are going
177,it could
177,you get
177,two weeks
177,with its
176,as we
176,that his
176,to change
175,that if
175,the police
175,two of
175,on its
175,focus on
175,and are
175,agreed to
175,up on
174,home in
174,to become
174,and at
174,the process
174,on this
174,involved in
173,sense of
173,when we
173,points and
173,supreme court
173,and some
173,the early
172,on an
172,the market
172,they don
172,put the
172,say they
172,declined to
171,outside the
171,in february
171,was one
171,failed to
171,of your
170,every day
170,so it
169,the fire
169,to new
168,the whole
168,and how
168,of state
168,and new
167,scheduled to
167,the race
167,to look
167,state of
167,take the
167,could not
167,of two
167,but also
167,barack obama
167,people in
166,the bottom
166,it can
166,that this
166,feel like
166,on her
166,to him
166,set up
165,where they
165,there no
165,how many
165,even if
165,we don
164,which he
164,little bit
164,for them
164,the no
164,school district
163,the west
163,much more
163,real estate
163,was on
163,do with
163,who were
163,and others
163,the site
162,city of
162,better than
162,work with
162,series of
162,to leave
162,was no
161,access to
161,this was
161,like that
161,general manager
161,to million
160,were the
160,the cleveland
160,for two
160,might have
160,and on
160,as if
160,they could
160,kansas city
160,he didn
159,know that
159,that had
159,than million
159,it doesn
159,for those
159,the front
158,and now
158,season and
158,year in
158,in your
158,even more
158,comes to
158,have no
158,will take
157,list of
157,the playoffs
157,in st
157,so that
157,of million
157,to avoid
157,that not
157,that what
157,that in
156,us to
156,him and
156,out for
156,about how
156,just as
156,has become
156,lack of
156,its own
156,any of
156,to stop
156,addition to
156,is just
156,and she
156,executive director
156,time of
156,the long
156,the hospital
155,with him
155,his family
155,we do
155,the region
155,in all
155,about his
155,of which
154,the council
154,it comes
154,the browns
154,going on
154,to reach
154,only one
154,percent in
154,the night
154,city council
154,year to
154,too much
154,about million
154,be more
153,and as
153,which the
153,the largest
153,within the
153,ohio state
153,say that
153,use the
153,there will
153,don think
152,on that
152,with two
152,back and
152,it wasn
152,so the
152,been in
152,we want
152,in san
152,are still
152,it as
152,after he
152,says it
152,so we
152,of public
151,on sunday
151,the san
151,the ground
151,to protect
151,is more
151,for it
151,and when
151,the work
151,people to
151,in two
151,the and
150,in he
150,the air
150,but if
150,same time
150,to continue
150,the budget
150,time the
150,are also
150,is being
150,was arrested
150,in december
149,man who
149,interest in
149,to our
149,about percent
149,also said
149,may not
149,now the
149,for one
149,you to
148,the great
148,who will
148,not been
148,and three
147,and even
147,home and
147,the movie
147,the legislature
147,was also
147,the mayor
147,the late
147,made it
147,in other
147,place in
146,center in
146,role in
146,or more
146,to meet
146,to show
146,it had
145,in april
145,there and
145,to that
145,the scene
145,and with
145,at his
145,supposed to
145,the main
144,in may
144,to cut
144,ways to
144,for some
144,to close
144,in prison
144,think the
144,inside the
143,focused on
143,and get
143,the years
143,whether the
143,seems to
143,to talk
143,to improve
143,chief executive
143,though the
143,but she
142,law enforcement
142,led to
142,to one
142,this morning
142,the real
142,as many
142,and so
142,he got
142,on april
142,many people
142,to raise
141,like this
141,easy to
141,parts of
141,have an
141,the restaurant
141,billion in
141,took the
141,to tell
140,you need
140,in washington
140,got the
140,is what
140,the million
140,by his
140,you think
140,between and
140,lots of
140,to watch
139,the head
139,first half
139,one day
139,that were
139,the deal
139,year ago
139,at one
139,the players
139,but this
139,lead to
139,do that
138,moved to
138,more of
138,then the
138,been the
138,the opportunity
138,day of
138,also has
138,money to
137,the republican
137,more information
137,federal government
137,one that
137,for our
136,wall street
136,have not
136,is very
136,attorney general
136,the news
136,president barack
136,no matter
136,of being
136,to let
136,to support
135,home to
135,to open
135,even the
135,the plan
135,the system
135,the park
135,on how
135,type of
135,has said
135,millions of
135,is about
135,game and
135,hit the
135,they ll
135,in game
134,the start
134,believe that
134,for yards
134,of one
134,his father
134,the previous
134,think that
134,associated press
134,the problem
134,million to
134,the question
133,about what
133,next week
133,it on
133,decision to
133,as one
133,is it
133,with one
133,his career
133,they want
133,regular season
133,to spend
133,if there
133,to think
133,returned to
133,bit of
133,the giants
132,of three
132,in it
132,but you
132,be an
132,is at
132,be on
132,it out
132,of time
132,him in
131,just the
131,version of
131,for that
131,the water
131,on it
131,to call
131,the local
131,found that
131,he told
131,the food
131,city and
130,working with
130,the kids
130,in order
130,talking about
130,the worst
130,with no
130,of america
130,here and
130,we all
130,and make
130,said this
129,sort of
129,in part
129,to return
129,ahead of
129,said if
129,will continue
129,at an
129,the couple
129,next to
129,the decision
129,seemed to
128,were in
128,think we
128,he ll
128,the men
128,the crowd
128,during his
128,the ducks
128,work in
128,the indians
128,middle of
128,but when
128,and no
128,given the
128,looking at
127,for new
127,to sell
127,their first
127,the point
127,the business
127,both the
127,was born
127,her to
127,the original
127,in place
127,an interview
127,as you
127,dozens of
127,of dollars
127,the highest
126,left the
126,in june
126,few years
126,it up
126,majority of
126,trip to
126,seem to
126,to save
126,he added
125,it going
125,months of
125,led the
125,or not
125,the ohio
125,the blues
124,the door
124,medical center
124,to learn
124,school and
124,long time
124,first quarter
124,all that
124,has made
124,head of
124,any other
124,is so
124,what was
124,the bank
123,them and
123,one year
123,it really
123,on what
123,owner of
123,the nba
123,won be
123,the amount
123,the week
123,to determine
123,terms of
123,the four
123,president and
123,of any
123,school in
123,grew up
122,responsible for
122,second half
122,increase in
122,it with
122,of how
122,to live
122,on your
122,the name
122,he doesn
122,something that
122,order to
122,efforts to
122,the line
122,effort to
122,the states
122,in august
121,this summer
121,back on
121,they also
121,to add
121,about to
121,in with
121,the death
121,to and
121,place to
120,the south
120,to turn
120,that when
120,the incident
120,and this
120,the book
120,the summer
120,an hour
120,thanks to
120,people and
120,cuyahoga county
119,toward the
119,you could
119,and former
119,and just
119,is scheduled
119,forward to
119,interested in
119,with it
119,live in
119,saturday night
119,had an
119,they said
119,the woman
119,is good
119,went on
119,center for
119,it takes
119,food and
119,in at
118,to hold
118,so they
118,just one
118,the sun
118,each of
118,will also
118,st charles
118,points in
118,with that
118,you do
118,difficult to
117,to begin
117,team that
117,despite the
117,be used
117,know how
117,state university
117,was very
117,me and
117,as long
117,contributed to
117,the church
116,to hear
116,compared with
116,this one
116,super bowl
116,will get
116,out that
116,accused of
116,continues to
116,as she
116,on my
116,yet to
116,in cleveland
116,after his
116,spokesman for
115,in three
115,the price
115,for you
115,loss of
115,family and
115,in july
115,jersey city
115,they did
115,the los
115,only to
115,the property
115,the ncaa
115,the series
115,know the
114,the organization
114,which will
114,they do
114,has no
114,house and
114,the union
114,games and
114,from their
114,on one
114,only the
114,to them
114,of st
114,to it
114,filled with
114,so he
114,what happened
114,win the
113,hall of
113,the average
113,have had
113,to pass
113,of education
113,long as
113,the full
113,which would
113,the situation
113,play in
113,the military
113,the red
113,was so
113,all star
113,all over
113,before he
113,died in
113,the rams
113,plain dealer
112,like it
112,and were
112,that all
112,the oregon
112,now that
112,and most
112,and my
112,and can
112,variety of
112,working on
112,was found
112,by an
111,in when
111,to end
111,attempt to
111,on top
111,at time
111,it took
111,the lead
111,work on
111,to all
111,the floor
111,with all
111,can make
111,history of
111,in north
111,the room
110,work and
110,out on
110,the judge
110,the east
110,mitt romney
110,the club
110,with some
110,in for
110,said you
110,are more
110,the draft
109,time he
109,based in
109,for about
109,other than
109,forced to
109,the north
109,years old
109,of life
109,way of
109,level of
109,with this
109,years the
109,in california
109,at its
109,pick up
109,would like
109,full of
108,at and
108,police department
108,piece of
108,the kind
108,information about
108,the general
108,him the
108,who can
108,years to
108,has had
107,to those
107,get it
107,at that
107,game of
107,up from
107,loss to
107,in ohio
107,the committee
107,the five
107,from an
107,that one
107,have said
107,the beginning
107,the power
107,news conference
107,talk to
107,of four
107,the campaign
107,with more
106,he wants
106,three of
106,his mother
106,look for
106,in any
106,the list
106,of other
106,he made
106,from her
106,the place
106,recent years
106,response to
106,most important
106,the menu
106,the internet
106,as possible
106,six months
106,say it
106,down and
105,an average
